pff_rank,player,pos,pos_rank,sleeper_adp,gap,signal,proj_ref,vbd_ref
1,Josh Allen,QB,1,5.2,4.2,fair,311.03,47.2
2,Drake Maye,QB,2,4.7,2.7,fair,303.92,40
3,Lamar Jackson,QB,3,1.8,-1.2,fair,297.58,33.7
4,Jayden Daniels,QB,4,2.6,-1.4,fair,297.3,33.5
5,Joe Burrow,QB,5,3.2,-1.8,fair,286.97,23.2
6,Jaxon Smith-Njigba,WR,1,14.9,13.9,VALUE,316.27,143.7
7,Puka Nacua,WR,2,7.9,5.9,fair,322.77,150.1
8,Jahmyr Gibbs,RB,1,17.1,16.1,VALUE,343.14,168.6
9,Caleb Williams,QB,6,11.2,5.2,fair,268.02,4.2
10,Bijan Robinson,RB,2,6,4,fair,336.44,161.9
11,Ja'Marr Chase,WR,3,13.9,10.9,fair,322.8,150.2
12,Brock Bowers,TE,1,15.2,14.2,VALUE,233.72,60.2
13,Ashton Jeanty,RB,3,8.9,5.9,fair,258.46,83.9
14,Jeremiyah Love,RB,4,20.1,16.1,VALUE,236.89,62.3
15,Jalen Hurts,QB,7,17.9,10.9,fair,301.15,37.3
16,Malik Nabers,WR,4,11.2,7.2,fair,232.51,59.9
17,Amon-Ra St. Brown,WR,5,9.9,4.9,fair,289.01,116.4
18,Justin Herbert,QB,8,10.6,2.6,fair,276.43,12.6
19,De'Von Achane,RB,5,16,11,fair,294.25,119.4
20,Omarion Hampton,RB,6,22,16,VALUE,245.73,71.2
21,Justin Jefferson,WR,6,23.9,17.9,VALUE,289.56,116.9
22,Drake London,WR,7,23.4,16.4,VALUE,284.52,111.9
23,Trey McBride,TE,2,29.5,27.5,VALUE,245.66,72.1
24,Patrick Mahomes,QB,9,21.3,12.3,VALUE,263.79,0
25,Bo Nix,QB,10,27.3,17.3,VALUE,263.68,-0.1
26,Trevor Lawrence,QB,11,28.1,17.1,VALUE,268.6,4.8
27,Jaxson Dart,QB,12,29.7,17.7,VALUE,262.23,-1.6
28,CeeDee Lamb,WR,8,35.4,27.4,VALUE,283.49,110.8
29,Jonathan Taylor,RB,7,31.6,24.6,VALUE,298.33,123.7
30,James Cook,RB,8,25.2,17.2,VALUE,285.73,111.2
31,Chase Brown,RB,9,39.9,30.9,VALUE,273.73,99.2
32,Kenneth Walker III,RB,10,37.5,27.5,VALUE,260.92,86.5
33,Tetairoa McMillan,WR,9,32.3,23.3,VALUE,235.33,62.7
34,Colston Loveland,TE,3,35.1,32.1,VALUE,209.03,35.6
35,Brock Purdy,QB,13,47.5,34.5,VALUE,269.05,5.2
36,George Pickens,WR,10,38.6,28.6,VALUE,239.1,66.1
37,Nico Collins,WR,11,47.3,36.3,VALUE,247.4,74.8
38,Chris Olave,WR,12,49.1,37.1,VALUE,241.82,69.2
39,Breece Hall,RB,11,43.9,32.9,VALUE,237.1,62.5
40,Dak Prescott,QB,14,34.2,20.2,VALUE,263.65,-0.2
41,Ladd McConkey,WR,13,33,20,VALUE,230.5,57.9
42,Emeka Egbuka,WR,14,40.9,26.9,VALUE,221.35,48.7
43,Quinshon Judkins,RB,12,50.5,38.5,VALUE,219.25,44.8
44,Garrett Wilson,WR,15,46.2,31.2,VALUE,237.97,65.3
45,Jordan Love,QB,15,41.1,26.1,VALUE,250.89,-12.9
46,Kyler Murray,QB,16,26,10,fair,265.43,1.6
47,Tyler Warren,TE,4,52.8,48.8,VALUE,196.01,22.5
48,Fernando Mendoza,QB,17,51.5,34.5,VALUE,151.68,-112.1
49,Baker Mayfield,QB,18,19.5,1.5,fair,253.7,-10.1
50,Jared Goff,QB,19,41.3,22.3,VALUE,253.55,-10.3
51,Rashee Rice,WR,16,53.6,37.6,VALUE,231.96,59.3
52,Zay Flowers,WR,17,57.8,40.8,VALUE,235.33,62.7
53,Luther Burden III,WR,18,59.6,41.6,VALUE,222.94,50.3
54,TreVeyon Henderson,RB,13,45.7,32.7,VALUE,184.14,9.6
55,Malik Willis,QB,20,56.1,36.1,VALUE,252.6,-11.2
56,A.J. Brown,WR,19,61.1,42.1,VALUE,251.39,79.4
57,Matthew Stafford,QB,21,68.6,47.6,VALUE,252.61,-11.2
58,Kyren Williams,RB,14,70.7,56.7,VALUE,237.24,62.6
59,Javonte Williams,RB,15,79.9,64.9,VALUE,231.22,56.4
60,Tyler Shough,QB,22,63.1,41.1,VALUE,247.16,-16.6
