player,position,pos_rank,points,vbd,adp,tier
Jahmyr Gibbs,RB,1,342.7,161.3,1.4,1.0
Bijan Robinson,RB,2,336.0,154.5,2.5,1.0
Christian McCaffrey,RB,3,323.6,142.1,7.3,1.0
Puka Nacua,WR,1,323.8,139.6,5.2,1.0
Ja'Marr Chase,WR,2,323.3,139.1,3.9,1.0
Jaxon Smith-Njigba,WR,3,317.1,132.9,5.7,1.0
Jonathan Taylor,RB,4,298.4,116.9,7.6,2.0
De'Von Achane,RB,5,294.6,113.2,12.0,2.0
Justin Jefferson,WR,4,290.2,106.0,12.1,2.0
Amon-Ra St. Brown,WR,5,289.0,104.8,8.2,2.0
James Cook,RB,6,286.0,104.6,12.4,2.0
CeeDee Lamb,WR,6,284.7,100.5,10.7,2.0
Drake London,WR,7,284.5,100.3,18.5,2.0
Chase Brown,RB,7,274.6,93.1,22.3,2.0
Kenneth Walker III,RB,8,261.9,80.4,22.2,2.0
Ashton Jeanty,RB,9,257.8,76.3,17.4,2.0
Trey McBride,TE,1,246.1,70.5,20.6,1.0
A.J. Brown,WR,8,252.8,68.6,26.8,3.0
Omarion Hampton,RB,10,246.7,65.2,25.6,2.0
Saquon Barkley,RB,11,246.2,64.7,15.5,2.0
DeVonta Smith,WR,9,248.1,63.9,40.8,3.0
Nico Collins,WR,10,247.7,63.5,26.9,3.0
Brock Bowers,TE,2,233.3,57.8,24.3,2.0
Kyren Williams,RB,12,238.7,57.2,41.7,2.0
Derrick Henry,RB,13,238.1,56.6,18.8,2.0
Breece Hall,RB,14,237.4,56.0,33.7,2.0
Chris Olave,WR,11,239.9,55.7,31.0,3.0
Jeremiyah Love,RB,15,237.2,55.7,22.8,2.0
George Pickens,WR,12,239.8,55.6,30.7,3.0
Garrett Wilson,WR,13,238.2,54.0,36.4,3.0
Javonte Williams,RB,16,234.8,53.3,35.4,2.0
Zay Flowers,WR,14,237.3,53.1,40.7,3.0
Tetairoa McMillan,WR,15,235.9,51.7,41.5,3.0
Malik Nabers,WR,16,232.9,48.7,34.0,3.0
Rashee Rice,WR,17,232.6,48.4,22.1,3.0
Josh Jacobs,RB,17,228.9,47.4,37.0,2.0
Ladd McConkey,WR,18,231.5,47.3,50.5,3.0
Josh Allen,QB,1,311.3,46.3,22.1,1.0
Luther Burden III,WR,19,223.6,39.4,76.7,3.0
Drake Maye,QB,2,304.0,39.1,47.4,2.0
Quinshon Judkins,RB,18,220.5,39.0,54.7,2.0
Emeka Egbuka,WR,20,223.0,38.8,48.0,3.0
